SKU,Cost,Profit Margin,QTY
9349,18,54,47
6091,7,29,32
1326,7,26,22
15,5,62,7
3316,6,15,20
6343,8,49,26
2748,9,72,46
4513,10,68,30
30,16,3,24
7328,20,32,95
7089,3,75,79
5302,18,62,2
7446,5,53,17
2385,2,17,18
6360,9,32,12
2759,15,67,98
8708,12,22,12
10150,11,55,2
9344,10,34,54
3544,14,74,2
5466,9,38,97
3884,12,80,22
8086,14,15,72
4175,8,67,47
5371,20,60,35
5215,4,31,46
6002,17,43,34
9182,14,72,13
1887,7,26,15
8676,1,42,56
3427,17,72,21
7102,15,33,98
5660,9,65,24
2765,19,36,60
580,11,18,85
8325,4,64,79
7215,7,60,46
2242,12,50,97
2970,8,27,14
7528,5,2,15
6008,1,49,68
7348,16,32,36
9805,11,28,17
10247,16,52,69
4479,17,62,87
1177,19,6,88
9644,16,76,27
3144,8,67,67
3742,3,60,83
4139,20,31,34
8588,11,27,52
8905,14,70,66
2866,18,80,86
10004,7,4,18
6731,11,13,82
2931,8,44,71
4793,15,73,55
5938,4,8,25
1131,6,77,94
6953,12,53,74
4953,7,49,71
9971,19,8,86
7242,11,43,66
9938,8,15,17
9128,16,71,42
4318,20,29,56
9314,4,16,58
10110,11,38,12
4989,3,28,27
10368,14,64,71
10291,15,70,52
190,2,43,52
9781,7,48,39
3726,6,5,17
3059,4,52,51
7426,9,27,83
8826,14,4,1
1677,8,53,50
2522,10,16,96
1853,12,14,84
2390,18,28,12
360,11,60,85
132,19,17,84
4777,4,5,93
9994,7,15,45
8568,16,56,24
3647,3,74,26
1028,15,34,22
4469,11,62,10
1671,20,72,11
2610,19,69,86
4010,7,5,95
8235,18,14,46
7646,12,58,86
10165,16,67,39
6480,3,16,47
912,6,12,4
5628,10,41,44
4205,3,75,25
1445,5,5,3
4671,9,42,85
7929,6,24,49
9581,18,41,58
4179,8,26,27
4276,13,61,94
2169,18,26,18
3177,3,31,78
218,2,76,61
3298,10,39,90
1891,5,64,51
394,12,14,93
6907,4,59,14
8853,17,74,16
6813,20,30,65
10204,5,9,17
6191,20,54,34
3387,11,18,74
8061,12,64,82
5144,6,31,22
2065,18,27,34
8906,1,31,21
3487,19,80,35
2103,18,73,34
7110,8,45,54
8794,19,1,3
7396,15,1,80
3603,4,64,51
3102,12,79,26
4498,17,4,58
1059,5,22,76
6627,9,7,91
3517,9,26,94
5164,6,23,57
6664,3,31,95
1211,20,22,84
6888,9,25,71
9697,13,72,86
3846,2,54,29
2075,5,2,71
6209,14,6,73
3901,3,11,98
7085,14,66,22
6194,19,65,97
1522,1,62,49
5012,16,16,77
5075,2,76,81
10099,3,32,59
4316,13,52,36
1731,12,79,99
6013,19,48,88
4064,12,50,40
6647,18,52,68
652,20,70,32
826,9,17,92
2792,11,41,60
8077,1,12,50
5254,13,46,5
6279,17,25,94
2995,4,18,13
1029,6,44,48
7631,13,75,44
6554,8,21,98
6342,9,32,16
9059,5,77,43
1609,5,12,76
7551,13,60,96
6521,12,24,33
2265,4,36,17
5705,8,45,97
2763,2,59,66
3992,7,60,58
3202,5,19,66
6616,17,67,57
2337,15,42,16
5442,7,67,31
5756,8,55,17
458,3,73,40
9540,6,42,24
4549,15,64,22
5389,1,75,25
2123,14,34,42
9771,12,63,74
2640,7,73,44
1574,12,21,22
5239,1,4,40
4871,13,56,58
1416,12,11,13
1990,10,5,85
1012,3,15,71
10365,16,32,69
4160,9,75,87
2497,20,32,54
2443,15,68,33
9881,17,29,38
1467,17,16,12
2280,11,49,89
5748,12,67,76
407,7,56,90
2248,1,58,68
8745,14,23,28
2574,16,4,67
1371,4,21,21
7275,19,53,65
9207,19,31,55
2768,3,76,75
5243,4,23,38
2332,18,3,1
3241,17,55,77
4836,6,22,36
10141,18,16,60
200,10,70,6
1346,17,8,49
154,10,76,92
4363,3,23,61
7082,7,60,88
2745,17,54,65
1022,8,28,15
7028,19,40,20
8625,9,17,95
1511,13,79,8
9521,9,38,47
2020,7,61,78
10400,12,57,87
6786,3,40,40
4239,4,37,25
2236,4,35,95
1272,9,16,69
1941,3,39,62
915,11,68,96
9814,19,54,83
4688,7,68,63
9871,10,36,21
6560,4,46,92
7913,4,24,96
9548,20,16,98
678,6,35,53
2295,1,45,76
5918,5,25,8
3364,20,80,1
9117,11,74,78
1550,13,47,67
6277,5,50,36
1908,12,74,20
9682,13,25,78
4737,8,8,11
2442,8,57,70
7832,5,38,88
4628,6,31,69
7826,15,14,86
367,13,24,40
4642,3,41,22
10233,3,9,19
799,8,40,75
8868,10,3,28
10057,12,48,22
2384,3,48,81
5476,5,35,47
7492,17,58,26
7454,13,72,96
2915,1,45,77
8334,6,54,94
7627,18,57,53
7518,19,30,93
3687,5,16,41
2795,1,60,80
8616,7,47,30
7981,4,43,14
1922,1,18,41
4041,18,18,59
363,12,19,8
338,19,24,87
2251,6,60,2
10114,1,54,43
6090,9,47,3
6321,8,10,69
4523,19,62,58
1535,1,40,90
394,15,51,11
3104,15,5,11
3227,6,37,93
5512,11,33,28
7595,18,16,56
3826,20,80,64
9591,6,13,23
8433,10,62,96
5144,1,48,32
411,8,1,96
8601,20,1,97
1275,1,76,28
3644,1,44,27
3678,15,11,79
3465,5,78,98
8999,15,71,85
8258,12,55,2
3466,11,12,47
6871,17,64,23
8015,14,21,63
5041,11,23,66
8589,8,7,1
9040,14,51,86
8664,6,2,69
4948,2,62,17
7920,3,30,10
4924,16,30,25
6045,14,72,24
4758,17,18,23
7637,13,39,2
6676,3,65,46
10168,9,8,12
6025,13,22,3
8311,7,53,49
10018,9,24,4
7616,1,10,72
3645,18,27,96
6167,7,56,37
1035,18,25,7
1986,16,2,73
2625,15,62,73
6075,8,42,83
3221,7,45,47
5883,9,9,92
6034,18,26,82
1819,7,46,77
2999,10,37,75
407,10,23,3
10048,4,11,79
8025,18,50,43
4254,6,18,30
3841,1,62,45
7904,6,38,59
1667,16,41,38
3046,2,40,50
3199,9,74,81
4631,10,75,31
1427,12,31,27
7119,3,63,93
2594,13,70,43
10294,15,23,53
2075,12,63,73
9814,4,67,10
8755,13,2,64
3335,13,26,55
5814,4,19,40
5649,9,76,40
3028,15,35,73
8249,19,13,45
9741,8,79,57
8014,15,27,34
6558,11,17,78
3405,7,42,11
3145,17,18,17
9630,7,43,14
3699,11,13,54
8531,6,21,9
6196,9,5,9
4102,6,4,75
9631,2,72,72
3053,17,52,7
4768,11,20,77
6011,4,19,62
1864,9,38,84
3614,14,31,82
765,5,58,53
1270,19,44,64
8482,17,7,27
6444,12,36,82
8287,10,47,93
1067,2,45,92
426,3,63,21
9402,3,21,51
416,7,76,61
4378,20,77,7
8126,5,26,10
1855,1,40,52
1870,9,3,100
7273,13,63,39
986,8,29,32
1160,18,20,50
6768,16,33,57
1641,5,29,47
1042,12,16,6
5335,7,39,29
10327,16,46,49
1672,18,56,22
6203,12,62,8
7651,14,69,93
8317,2,37,93
4713,16,78,24
9213,1,78,20
7985,2,80,74
9693,16,60,51
5681,17,80,33
5037,2,68,38
3643,9,52,4
7263,7,40,49
2871,16,69,93
2761,13,26,65
9221,2,68,60
9288,4,64,17
1173,8,73,32
5649,10,5,97
5282,10,70,64
7029,20,16,19
4939,20,11,35
6583,12,16,26
9694,20,28,17
6755,4,15,27
759,6,1,50
2335,13,50,45
7830,14,7,3
4213,13,72,17
9657,2,80,41
843,9,55,51
10051,10,26,29
4736,6,46,31
4559,6,46,1
7847,6,27,78
4220,5,64,90
7163,9,39,93
6264,3,48,95
7143,3,45,90
2542,3,48,17
5272,16,40,85
9525,14,60,21
6354,14,33,12
9336,20,14,8
5979,10,38,55
6800,9,80,82
7492,3,42,81
9870,17,76,72
2589,1,77,25
2929,4,5,59
200,7,55,44
7777,4,43,55
5604,14,2,31
3787,7,32,77
8642,10,59,60
6172,8,22,72
2647,16,6,91
644,15,13,37
4186,15,11,27
7194,1,64,4
9893,9,21,87
510,8,53,94
8658,2,48,76
6587,2,62,21
2253,10,2,18
9228,10,71,12
3120,8,42,21
5551,15,59,3
5503,10,30,36
7356,10,56,34
7910,1,60,40
4976,12,63,83
9032,8,10,31
6605,18,20,70
4533,5,41,56
516,2,44,20
1758,10,31,66
5757,2,4,77
8973,5,21,50
3428,12,5,9
5954,12,53,9
3777,15,46,82
6573,19,32,71
4237,5,60,48
8374,18,50,68
5350,13,41,89
8916,14,2,80
3662,14,2,44
2036,1,28,30
3626,7,74,47
7405,5,62,29
164,15,74,29
2325,2,17,27
1305,13,60,88
1354,6,9,64
2099,3,51,75
101,20,74,27
1402,3,30,97
1244,6,26,87
8787,5,67,57
9198,11,5,61
5059,8,51,75
5187,13,29,70
5937,17,1,81
667,14,44,16
3682,19,49,43
1673,7,50,45
4586,13,40,68
3627,14,49,22
6422,9,36,84
8564,6,46,70
2902,14,57,17
2184,8,71,51
756,17,54,68
8000,2,20,96
3293,4,39,10
8547,17,35,54
3032,2,11,57
9781,7,43,23
3572,5,4,99
446,8,57,19
8389,7,32,50
3609,17,43,35
7915,6,78,14
1487,13,68,11
6208,4,11,12
969,13,77,84
5451,6,53,73
8376,4,51,24
1877,20,21,64
9735,1,53,64
550,12,76,29
7426,2,1,53
6523,4,13,46
6455,20,58,59
2151,14,79,28
3759,14,37,79
4041,5,18,35
8467,12,79,73
8727,20,17,86
3166,19,70,24
2449,1,58,51
7110,6,50,4
1692,1,10,89
3272,17,45,44
8886,11,57,19
5780,5,7,25
10384,7,65,62
717,6,76,90
2168,14,19,21
2138,13,67,95
4041,6,68,32
1756,10,61,28
8250,13,31,29
2630,17,11,65
4698,4,51,78
4275,6,31,95
6255,18,18,88
1023,9,10,30
7553,19,67,72
4150,5,18,2
2930,3,61,16
10282,15,9,61
4572,4,20,95
10300,7,30,49
2232,18,18,69
8364,14,16,60
533,10,45,4
3673,16,59,90
6082,11,37,33
4976,15,62,51
8872,1,73,65
6195,3,46,27
6438,20,32,2
3236,10,62,94
7875,19,62,34
733,10,12,29
4200,14,70,4
6559,1,16,25
10370,1,70,71
10264,1,7,77
2858,8,51,6
6740,19,9,80
9874,4,1,73
1828,7,30,17
8677,12,42,34
6889,15,51,22
140,11,43,92
2165,11,36,62
10027,14,37,96
6253,5,68,40
9537,14,8,84
4845,13,47,94
4374,4,74,40
5970,8,49,38
7149,11,80,59
6654,9,23,98
6652,3,50,85
6240,20,57,41
7689,4,13,65
116,15,60,52
164,3,28,58
7142,4,19,37
6527,2,4,82
8727,18,22,13
7932,1,21,48
2286,2,15,88
1950,19,47,61
7548,7,15,90
1268,5,14,28
6491,11,39,37
5921,7,48,34
6162,13,56,95
3952,4,68,64
9993,5,62,62
8017,15,7,46
9468,5,34,43
5507,15,47,46
912,3,8,2
2754,16,67,41
1616,17,19,46
2251,19,15,82
3290,2,67,82
1849,5,31,75
5379,7,4,8
2190,10,46,3
4297,19,73,45
7525,1,44,8
38,9,5,100
6593,3,78,60
3207,2,17,66
8703,7,34,78
10343,1,46,56
5536,20,32,65
6309,14,11,56
9405,3,73,83
5441,8,61,3
10,4,6,29
8048,4,80,20
203,15,62,29
4809,12,11,27
5308,1,33,19
3832,8,17,89
4147,15,32,16
5001,1,62,47
9456,8,57,19
4871,1,5,63
5438,18,48,48
9990,16,52,96
4478,7,32,53
9125,20,52,21
696,16,3,10
3148,1,61,38
9836,8,47,72
2886,18,27,10
956,6,33,69
3489,8,39,46
7535,17,42,4
2679,12,28,47
4347,6,67,26
953,12,74,98
3496,16,59,66
7495,1,21,5
1594,10,68,5
9217,16,46,5
505,1,39,39
8958,18,49,74
7057,4,9,35
934,7,48,22
1862,2,78,90
4705,1,25,18
9640,15,59,1
2216,14,54,74
7093,3,72,61
586,2,52,15
386,5,49,66
2051,13,41,97
840,3,78,20
9544,14,13,68
5372,16,34,32
8331,16,80,32
6078,10,44,60
3354,11,58,86
9585,16,4,55
2479,14,64,6
1116,16,42,70
7504,2,45,83
7715,9,60,93
3617,8,7,78
4142,13,12,89
2544,8,17,16
7977,2,23,97
2908,3,31,19
7281,2,29,79
2058,19,50,94
7079,3,44,49
7040,14,55,81
3305,16,77,50
6696,8,58,26
8713,13,46,92
6365,20,54,92
6063,2,59,71
6929,18,46,69
1805,16,18,34
3074,9,11,1
565,7,39,6
3831,6,34,70
10278,12,29,45
8679,8,80,36
5659,9,10,3
1660,6,80,18
1899,3,60,15
3495,8,30,58
6294,15,3,85
7061,19,60,52
6672,19,54,24
9009,20,77,17
6216,16,69,69
1470,9,69,63
2303,13,48,32
1317,6,25,67
8934,18,13,4
145,5,60,55
10229,14,49,69
2595,8,12,13
9370,13,47,57
98,14,9,31
8233,11,22,26
3154,10,53,5
7740,17,59,27
3283,8,7,31
2117,6,5,83
5606,5,72,38
4225,13,34,15
6337,13,23,6
932,10,41,73
1663,18,4,9
10100,18,7,38
3056,12,72,70
4794,11,78,43
1127,4,64,9
4257,18,36,15
7082,13,74,71
6681,3,43,57
3450,10,61,88
3238,11,57,42
818,20,59,19
3669,12,21,50
8256,12,57,95
6017,1,46,39
4171,1,61,18
5864,7,2,16
7137,18,66,84
5039,13,69,6
1955,13,12,95
472,11,52,4
9586,20,55,19
1812,11,73,73
10390,5,44,12
182,3,74,91
4027,18,22,100
10228,5,39,9
7620,15,68,87
665,2,22,16
3056,18,33,77
9297,8,48,69
2629,14,43,36
9226,10,49,48
966,12,39,58
4924,12,76,38
4997,3,69,26
2615,18,58,71
5318,10,2,75
276,18,12,76
8881,12,71,73
1600,3,1,2
6732,20,72,72
2549,3,47,100
5954,4,30,17
9376,8,30,5
9742,11,35,98
9608,5,55,26
8467,12,31,48
8662,10,68,3
8059,14,27,21
3426,14,1,21
3534,16,9,77
7198,19,63,10
9666,7,21,40
1809,4,39,3
18,3,20,95
651,2,13,72
7167,6,10,44
7459,17,79,83
5070,15,76,53
8170,14,48,41
4641,3,10,4
161,17,41,19
7535,16,20,60
1607,14,11,73
4211,20,40,96
6219,15,62,64
8869,7,56,32
7255,3,13,69
10041,15,60,79
526,10,42,40
3054,19,38,36
4479,15,17,45
9963,1,18,66
1289,13,11,97
2095,14,69,83
994,19,24,41
7623,8,12,18
6071,5,10,41
8913,14,42,55
5090,4,78,45
4304,14,9,32
5827,17,64,10
236,17,20,23
9033,10,36,97
5528,19,42,91
8844,8,80,44
9308,19,16,30
5141,4,8,39
793,2,38,77
414,5,32,92
9751,12,4,27
4733,7,71,79
6797,19,79,57
9615,1,54,39
5440,7,73,64
2933,3,14,21
7398,7,64,1
9874,16,61,84
6302,19,40,35
6075,13,4,18
2608,1,74,8
7677,2,56,38
7559,18,53,21
2363,8,11,84
2286,17,28,14
1852,13,31,21
6691,7,70,100
7155,16,6,39
1593,5,67,10
2559,13,67,69
10058,4,40,23
7701,1,17,45
3558,15,26,52
6220,7,39,64
6766,18,66,99
2794,1,77,20
7919,20,80,24
213,16,5,49
6181,12,33,92
3912,17,35,8
10186,7,74,60
3987,4,53,6
9343,4,57,80
8156,9,27,100
7743,16,44,78
5645,4,34,38
7427,4,44,58
432,5,13,55
7182,14,20,50
3200,20,52,30
1374,9,53,75
5552,14,78,6
9916,13,47,90
3621,20,34,88
7702,14,10,3
8994,2,8,72
